,título_original,genero,subgenero,colocação,título_brasileiro,distribuidora,renda,publico,salas_abertura,estreia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
0,The Fate of the Furious,Action,Crime,1,Velozes e furiosos 8,Universal,133420000,8504737,1512,2017-04-13,3,4,2,3,1,1,1,2,2,3,3,4,4,5,3,3,2,2,3,2,3,3,3,2,1,1,2,1,2,4,1,2,1,2,2,3,4,3,2,2,1,2,2,3,3,2,2,1,2,3,3,5,3,3,3,3,9,11,53,28,16,11,7,10,12,5,5,5,3,4,5,5,4,5,4,4,6,4,8,6,5,4,4,3,4,4,3,3,4,3,2,5,6,4,5,4,3,4,4,4,3,3,4,3,3,4,5,3,3,3,3,3,6,7,5,6,6,4,3,7,6,3,3,3,3,3,4,5,3,3,4,3,4,6,5,5,4,3,4,4,9,8,3,4,5,8,8,9,10,8,10,11,10,9,12,13,10,10,9,9,8,11,14,11,10,9,11,11,17,22,17,16,18,25,24,33,40,39,43,58,100,154,16,4,3,1,2,0,0,0,1
1,Justice league,Action,Adventure,2,Liga da Justiça,Warner,131218000,8416544,1582,2017-11-16,5,7,4,6,5,5,4,5,6,5,4,5,5,4,7,6,6,5,5,5,5,8,8,6,6,5,9,7,7,7,6,6,4,5,5,8,9,6,6,5,6,6,5,8,6,5,4,5,4,7,7,6,4,6,7,6,6,6,6,5,5,6,5,18,24,14,11,9,7,8,9,9,7,7,6,5,6,8,8,5,5,5,5,5,7,8,5,5,5,4,5,6,6,5,4,4,4,5,5,6,4,4,4,4,5,6,8,5,3,5,6,5,7,6,4,5,4,5,4,6,6,3,4,4,5,5,7,8,6,5,4,5,5,6,10,6,6,6,6,6,10,20,14,11,10,12,8,9,10,7,7,6,8,7,8,9,8,8,8,10,9,11,12,11,9,10,15,15,14,16,17,15,16,16,20,25,29,28,44,100,78,155,19,4,0,1,0,0,1,0,1
2,Beauty and the Beast,Family,Fantasy,3,A Bela e a Fera,Disney,130098000,8309801,1399,2017-03-16,5,5,5,6,6,5,4,5,7,4,6,4,5,7,10,8,5,6,7,5,5,8,7,5,6,6,5,4,6,5,4,4,5,4,5,6,7,5,5,4,6,4,6,6,4,5,7,9,7,10,9,5,5,4,4,6,8,6,31,33,18,11,8,13,11,7,6,11,13,8,9,8,6,6,6,7,6,7,7,4,5,7,8,6,7,9,5,7,6,6,6,7,9,5,7,7,7,7,12,21,22,99,19,11,12,9,10,8,9,7,6,6,11,11,10,11,8,9,7,9,10,7,7,7,6,6,10,10,7,7,6,6,9,9,10,7,30,22,19,13,18,22,10,10,12,11,12,13,13,11,8,12,9,10,14,16,11,12,10,10,13,15,14,18,16,18,19,25,29,32,30,30,25,33,34,49,51,40,44,62,100,125,34,10,6,2,1,1,0,0,2
3,Despicable me 3,Action,Animation,4,Meu malvado favorito 3,Universal,126007000,8996130,1319,2017-06-29,3,8,4,3,4,4,2,6,3,3,3,1,5,3,5,4,2,3,2,2,4,3,5,3,2,3,2,2,3,2,3,3,2,1,1,3,2,2,1,1,1,1,2,5,3,2,2,1,1,1,5,2,1,1,3,3,3,4,4,2,2,2,1,1,5,2,1,1,1,2,3,4,6,17,22,14,12,13,10,6,5,3,5,6,5,7,5,4,1,2,7,8,6,3,3,4,2,2,6,6,4,3,2,2,2,7,5,4,1,2,2,3,4,6,2,2,1,1,1,3,6,4,2,1,2,3,3,4,3,3,3,1,3,3,5,3,3,2,2,2,7,8,5,9,9,7,6,10,20,8,9,10,14,12,19,18,7,6,7,10,10,15,19,10,11,10,27,19,18,28,15,19,15,23,24,44,51,37,45,65,100,153,17,5,1,2,1,1,0,0,1
4,Wonder Woman,Adventure,Fantasy,5,Mulher-Maravilha,Warner,109700000,7053736,1287,2017-01-06,0,0,37,36,0,79,0,0,0,0,0,38,0,100,52,37,36,37,37,77,49,75,37,73,36,36,0,51,0,37,74,39,39,0,0,0,0,0,38,0,0,0,0,0,0,0,37,0,0,0,0,35,0,37,0,47,48,0,0,0,0,0,0,50,0,35,36,0,0,0,0,0,36,36,0,40,49,0,0,36,37,0,40,0,0,0,36,36,0,79,0,0,37,0,0,0,0,47,0,72,0,36,0,0,49,0,0,35,0,0,41,48,0,36,57,45,36,38,47,95,36,0,36,38,0,49,0,59,0,0,36,0,0,47,35,36,0,0,69,0,47,34,33,0,35,0,92,92,32,0,53,0,0,95,0,34,0,0,0,40,0,0,0,0,0,42,45,57,0,42,0,42,0,0,0,67,40,39,45,95,49,93,0,0,47,20,6,2,7,0,6
5,Spider-man - Homecoming,Action,Adventure,6,Homem-Aranha: De volta ao lar,Sony,102686000,6715848,1546,2017-06-07,40,100,33,24,0,48,0,0,0,38,52,27,0,0,0,0,46,0,0,0,0,0,0,0,0,27,0,33,0,0,37,0,0,0,25,0,0,0,0,24,0,0,0,0,34,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,0,24,0,0,0,0,37,0,0,0,22,0,0,30,0,0,0,0,0,31,30,0,0,0,0,0,0,0,0,0,0,23,24,0,31,0,45,0,0,0,31,0,0,0,0,23,0,0,0,0,0,0,0,31,33,33,0,0,0,24,31,0,30,0,0,0,23,24,0,34,30,0,46,70,49,0,0,0,23,0,0,0,31,0,0,25,25,0,0,33,65,0,0,25,50,0,33,67,0,47,0,0,28,34,50,0,46,0,122,0,24,21,9,1,3,0,0,1
6,Thor: Ragnarok,Action,Adventure,7,Thor: Ragnarok,Disney,99924700,6371808,1565,2017-10-26,5,6,5,6,4,4,3,3,5,4,3,3,3,3,4,3,2,2,3,3,2,6,2,3,2,3,3,3,2,3,2,2,3,2,3,3,6,2,1,3,2,3,5,4,2,3,2,2,4,3,5,5,2,3,2,3,3,4,2,2,2,2,2,1,4,3,2,2,3,3,5,6,4,4,3,4,4,6,6,4,4,5,3,4,9,52,22,17,12,10,8,7,8,6,6,4,5,3,5,7,4,3,4,3,4,7,11,4,5,3,7,6,7,6,4,5,3,5,7,8,7,7,5,5,5,4,8,9,9,4,4,12,13,11,11,7,6,7,6,7,11,8,10,5,7,7,8,8,18,11,9,10,11,11,16,19,15,17,15,14,19,21,28,21,19,24,30,22,20,25,24,20,22,33,34,45,54,47,44,52,100,140,22,10,2,3,3,0,0,0,1
7,Logan,Action,Drama,8,Logan,Fox,91226300,6439753,1288,2017-02-03,16,16,13,20,15,19,23,15,13,16,15,18,20,17,14,19,22,15,18,18,14,24,19,19,17,20,22,19,22,20,19,19,20,20,21,20,20,19,17,16,20,19,21,18,17,18,21,19,19,19,18,21,19,17,14,20,21,15,15,23,24,18,22,20,21,18,18,21,21,22,21,18,20,19,100,89,74,65,47,32,33,29,29,28,28,24,19,26,21,28,22,20,24,19,20,24,22,24,26,29,26,24,20,20,25,20,22,21,18,22,19,26,23,24,18,19,24,22,24,24,24,20,20,26,23,25,23,22,22,23,25,23,28,26,24,20,23,24,22,20,23,31,22,24,24,25,24,24,23,35,27,27,24,30,35,24,31,23,26,23,27,28,26,25,24,66,64,47,39,33,26,36,31,29,41,31,25,27,27,29,26,0,71,90,11,3,0,3,1,1,1
8,Minha mãe é uma peça 2,Comedy,Placeholder,9,Minha mãe é uma peça 2,DTF/Paris,89279600,6566550,1231,2016-12-22,0,1,0,1,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,3,2,1,0,2,1,1,1,3,2,1,2,2,1,2,2,1,1,1,0,0,2,2,2,0,2,1,1,3,3,1,1,1,2,1,1,4,1,0,1,1,1,2,4,1,2,2,2,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,2,3,1,2,2,1,1,4,3,3,2,2,1,1,2,2,3,1,2,1,2,1,3,2,2,1,2,3,2,1,1,30,22,12,11,19,22,10,7,8,5,5,6,11,25,9,3,4,6,9,12,12,12,3,5,6,6,9,4,6,6,5,4,5,6,3,4,7,7,7,13,15,11,15,17,14,9,16,19,12,27,18,20,30,41,39,37,44,58,100,151,18,6,2,2,1,0,0,0,1
9,The Shack,Drama,Fantasy,10,A cabana,Paris,74712700,5102909,843,2017-06-04,3,3,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,3,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,1,2,3,2,1,1,2,2,2,3,4,4,3,2,3,3,4,3,3,4,3,5,16,12,10,6,5,5,5,7,6,5,4,6,6,5,6,9,7,8,8,7,8,15,21,18,24,29,47,61,81,93,68,56,57,55,82,79,66,46,42,39,39,73,77,72,44,37,39,35,40,75,87,100,42,29,29,34,57,60,35,31,29,25,29,40,56,32,29,27,23,26,46,60,28,24,22,22,22,40,45,23,24,21,19,17,28,44,114,6,21,12,8,7,3,5,3,2
10,The Guardians of the Galaxy 2,Action,Adventure,12,Guardiões da Galáxia 2,Disney,67539800,4208491,1312,2017-04-27,2,10,5,2,4,1,3,5,2,6,3,2,3,3,3,3,4,6,1,2,4,0,3,3,2,2,2,2,3,3,1,1,1,1,2,9,59,36,22,13,9,17,20,16,7,7,8,5,5,10,6,6,3,3,2,7,2,5,4,5,6,3,6,4,8,4,7,7,3,2,6,7,3,7,5,5,8,6,12,10,6,4,2,5,5,5,3,2,4,5,4,4,6,4,4,7,2,5,8,9,9,8,2,7,7,9,16,6,4,3,3,7,7,11,5,5,4,6,6,4,7,11,12,41,19,20,17,10,10,9,6,5,7,13,17,8,9,8,4,10,13,17,15,10,9,10,13,16,16,12,15,10,14,8,9,17,14,10,13,12,10,17,26,23,17,16,22,26,26,34,25,41,44,49,66,53,58,71,66,86,100,130,30,7,2,4,3,2,1,1,1
11,Fifty shades darker,Drama,Romance,13,Cinquenta tons mais escuros,Universal,66570600,4628938,1532,2017-09-02,58,56,55,44,51,81,96,56,50,55,46,52,82,100,54,48,38,44,36,57,80,48,37,39,46,38,44,61,34,27,19,26,25,43,63,27,25,23,27,42,48,56,26,28,26,23,44,41,41,31,25,21,27,32,43,68,43,26,21,21,24,35,48,22,19,25,22,18,38,50,33,20,19,25,25,43,53,34,24,24,25,23,43,57,34,31,25,23,26,39,39,23,27,20,22,21,47,36,22,19,21,41,25,42,46,20,20,20,23,25,32,41,24,19,17,24,21,33,38,18,26,17,17,20,18,27,19,13,14,16,18,23,28,22,17,22,25,26,22,26,26,15,17,19,14,28,28,14,15,12,15,13,20,23,15,12,11,11,14,14,20,16,12,15,14,17,20,24,18,15,11,12,16,13,21,10,13,12,11,9,13,2,56,58,20,25,12,3,1,2,2
12,Wonder,Drama,Family,17,Extraordinário,Paris,52893500,3787134,878,2017-07-12,8,8,7,10,8,8,10,9,6,6,9,10,10,8,12,4,5,10,10,11,12,12,13,12,11,12,10,11,10,10,6,14,11,15,10,9,9,6,13,12,15,11,13,6,7,11,9,10,14,9,7,9,11,12,11,15,14,9,9,12,13,14,14,12,7,8,13,18,14,16,13,9,12,16,17,12,13,14,13,9,12,13,15,18,13,9,10,13,10,13,13,6,16,12,14,16,16,14,9,11,14,12,19,13,14,15,10,7,10,16,14,17,15,9,10,16,17,15,17,11,7,14,17,18,18,13,11,9,12,12,13,67,100,66,51,41,35,26,27,28,25,20,21,20,22,19,18,12,12,14,18,23,12,16,20,14,19,22,21,21,18,18,11,10,18,17,13,15,14,11,15,21,22,16,21,18,13,13,17,15,13,52,110,13,1,1,1,2,0,0,1
13,The mummy,Adventure,Action,18,A múmia,Universal,47432100,3054033,1102,2017-08-06,5,0,8,5,5,3,3,3,2,2,2,5,3,4,3,4,4,3,8,0,5,5,5,5,2,5,6,2,3,4,3,6,6,9,4,4,4,0,3,5,5,2,7,2,6,4,6,4,4,5,7,6,2,10,11,15,6,4,4,5,4,11,2,0,2,4,5,8,3,4,5,8,4,9,5,7,6,2,4,3,8,6,4,7,3,2,3,7,6,3,5,4,0,4,6,10,6,4,9,4,9,5,20,16,4,7,7,9,4,13,11,8,9,10,18,7,18,17,19,22,27,53,66,71,68,54,43,38,84,78,61,56,42,35,30,24,34,43,64,50,33,30,27,48,86,100,55,44,51,27,43,65,59,39,38,50,17,21,33,42,26,24,24,18,27,20,38,13,21,21,12,17,21,26,19,6,14,13,21,23,45,109,20,18,8,10,6,5,2,2,1
14,The boss baby,Animation,Comedy,19,O poderoso chefinho,Fox,46194000,3240436,898,2017-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,10,6,7,20,26,10,10,13,5,10,14,11,11,10,12,5,21,15,17,9,5,14,2,14,14,14,15,13,3,7,8,9,7,4,2,4,4,3,6,5,2,5,1,5,3,8,6,4,2,3,4,2,3,5,4,4,1,6,3,5,6,3,7,12,10,10,10,7,4,3,8,3,6,10,16,4,7,10,2,9,9,7,8,6,5,5,8,8,6,4,6,8,5,9,8,6,7,3,5,4,4,12,12,6,4,7,3,11,8,14,8,6,8,3,7,12,4,3,5,6,3,3,11,12,5,4,6,2,7,10,10,20,12,9,7,11,14,16,9,4,6,8,5,13,16,8,11,10,10,13,24,37,20,18,22,18,30,60,60,41,41,53,100,133,36,5,1,2,3,0,0,0,1
15,Transformers: The last knight,Action,Science Fiction,21,Transformers: O último cavaleiro,Paramount,42714800,2853206,1145,2017-07-20,5,5,4,4,7,7,4,0,10,4,0,0,4,6,7,15,7,4,5,4,12,7,0,11,5,4,4,4,5,10,7,4,7,4,6,13,8,9,9,7,7,7,0,0,3,7,3,5,4,14,7,3,0,0,0,6,0,9,14,7,7,4,4,9,7,3,3,9,4,4,5,5,3,10,3,5,0,4,14,7,9,16,8,14,8,10,4,5,5,7,7,5,11,7,5,0,5,11,10,10,9,9,7,4,4,5,0,0,7,0,7,4,12,5,0,4,13,6,8,15,7,6,4,15,8,12,7,8,10,5,4,8,8,5,5,7,11,9,13,4,11,39,9,15,11,11,11,15,16,11,23,19,30,21,28,43,30,23,23,23,26,20,37,30,44,38,30,36,50,29,45,39,39,50,41,71,71,51,71,79,100,123,28,12,6,6,1,0,4,0,1
16,Cars 3,Adventure,Animation,23,Carros 3,Disney,34554900,2527185,1156,2017-07-13,16,13,12,11,9,13,13,12,13,11,7,7,7,7,12,13,11,7,9,8,8,10,11,8,6,8,7,10,9,13,5,8,6,5,7,13,12,6,4,5,6,6,14,13,16,14,12,11,11,13,14,9,9,7,9,10,12,15,11,12,8,6,7,10,9,9,10,6,8,6,9,7,8,6,9,8,7,14,11,7,6,10,9,8,15,15,12,7,7,12,11,14,15,9,7,9,8,16,15,19,8,9,11,11,14,19,20,19,8,10,13,12,17,16,12,10,13,10,12,14,21,13,10,9,9,9,14,18,11,11,12,9,13,14,19,13,11,11,11,20,18,24,14,11,12,12,11,18,21,18,15,34,73,43,41,40,34,23,17,19,21,31,40,28,24,26,21,23,28,45,29,29,30,28,33,36,39,39,47,66,100,70,80,15,9,4,0,1,1,0,1
17,Assassin's Creed,Action,Adventure,24,Assassin's Creed,Fox,32695500,2071518,902,2017-12-01,55,32,27,28,27,28,68,59,61,31,62,65,75,88,39,46,44,24,29,42,41,59,33,29,47,26,44,43,34,35,31,26,33,31,47,39,41,35,20,16,33,38,34,25,42,30,26,23,42,32,23,27,30,30,23,30,33,21,44,34,23,22,38,44,27,18,29,30,27,32,42,25,26,25,23,26,41,56,19,25,28,30,19,43,31,25,24,27,24,36,28,47,41,27,31,38,24,51,34,21,17,18,19,20,36,29,16,29,19,22,27,27,31,20,23,36,20,21,39,29,31,27,28,26,29,33,30,31,29,38,37,47,38,31,32,23,31,23,23,39,24,18,34,40,59,73,98,100,81,56,57,98,81,75,83,66,45,55,51,52,61,82,42,36,57,55,43,84,66,48,42,43,39,60,62,93,59,33,51,43,28,0,14,61,43,26,16,8,3,6,4
18,The Great Wall,Action,Adventure,26,A grande muralha,Universal,27179500,1717210,814,2017-02-23,2,2,2,2,0,1,0,0,2,2,0,2,2,0,0,2,2,2,5,1,0,2,3,2,1,3,1,1,2,0,3,1,0,2,1,0,1,0,1,4,1,1,8,3,16,18,20,5,11,8,5,2,6,2,2,1,2,2,2,2,1,1,1,2,3,1,1,1,2,5,8,3,0,9,2,2,1,2,2,3,4,4,2,1,2,6,1,1,3,1,2,3,2,1,2,2,1,2,2,1,1,2,1,1,2,3,5,2,1,1,4,3,2,2,3,2,0,0,4,2,3,1,1,3,1,5,2,4,4,1,1,3,0,3,0,2,2,2,2,2,3,4,6,1,1,2,1,3,3,1,2,3,2,7,7,6,4,11,9,8,13,17,19,7,6,11,9,8,20,22,13,17,17,28,18,27,42,30,38,52,100,159,14,4,1,1,1,0,0,0,1
19,Passengers,Drama,Romance,29,Passageiros,Sony,22344200,1300496,676,2017-05-01,10,10,10,8,11,8,12,7,11,12,7,10,17,16,10,10,10,8,12,9,9,8,9,10,8,11,11,100,41,29,20,23,26,21,13,15,13,12,12,14,15,17,14,17,14,10,11,9,14,10,17,14,16,21,20,16,18,26,28,22,33,31,36,39,52,56,87,80,56,45,39,43,36,53,44,29,35,34,36,42,39,43,26,27,23,21,21,26,26,18,18,14,17,12,24,23,20,16,16,15,14,20,23,14,16,16,16,15,19,17,16,15,17,17,22,26,37,35,41,28,23,25,35,44,26,21,23,17,17,22,29,19,18,16,17,14,24,25,19,12,14,12,14,22,24,19,12,17,16,16,19,21,15,14,15,17,14,17,22,19,17,14,18,19,22,24,14,13,16,18,20,25,25,18,14,14,13,12,19,24,24,21,91,41,13,8,4,0,1,1,1
20,Woody Woodpecker,Animation,Comedy,31,Pica-Pau,Universal,21131000,1635280,728,2017-05-10,23,47,15,14,13,13,21,11,11,14,17,8,15,8,12,13,14,8,11,22,36,20,71,100,30,22,46,37,34,53,34,39,31,47,37,36,40,41,54,32,38,32,45,47,55,35,41,34,25,37,54,52,24,21,48,48,43,49,47,34,37,28,32,20,54,36,27,26,19,30,26,41,60,39,26,29,36,45,25,60,25,45,23,34,21,35,36,24,28,37,27,24,22,51,22,25,24,35,21,35,36,40,16,38,21,25,57,31,59,26,25,21,35,48,42,21,22,31,25,30,52,25,31,27,25,45,23,33,44,21,27,32,30,31,34,36,42,36,21,36,28,42,42,22,29,25,35,29,40,44,20,19,44,46,47,42,47,36,49,56,35,41,52,51,43,47,37,36,33,57,60,49,32,25,37,48,69,67,20,39,28,3,20,52,51,34,17,2,1,0,1
21,Rings,Horror,Placeholder,32,O chamado 3,Paramount,20936100,1528477,611,2017-02-02,2,1,2,1,2,2,0,2,1,1,1,2,2,1,1,1,1,1,13,7,5,8,9,3,3,5,1,2,3,4,2,2,2,2,2,2,3,2,1,2,1,2,3,3,2,2,2,1,1,1,2,3,2,1,1,1,2,1,1,1,1,2,2,4,2,1,2,2,2,2,1,1,2,2,1,2,2,2,4,2,0,2,1,1,2,2,3,2,3,1,1,3,1,1,2,1,1,2,3,2,0,2,0,1,4,3,3,2,1,1,1,1,3,2,1,2,2,1,2,2,4,1,0,1,4,2,1,2,2,3,1,1,0,2,2,1,1,1,1,3,2,1,1,1,2,2,5,2,1,1,4,1,6,25,79,58,45,33,25,21,28,24,35,24,20,14,14,22,47,56,36,49,36,32,32,41,50,46,50,77,100,152,4,7,6,7,2,0,2,0,1
22,Smurfs: The lost village,Adventure,Animation,33,Os Smurfs e a vila perdida,Sony,20854100,1468260,872,2017-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,0,5,0,6,0,0,0,0,4,0,0,3,0,3,0,4,0,0,0,0,0,4,0,6,0,0,0,0,4,0,0,5,3,3,0,6,0,3,8,0,4,0,4,7,3,0,3,0,0,4,0,3,0,0,0,0,4,4,4,3,3,8,0,0,4,5,0,0,3,3,5,7,2,3,5,5,11,7,11,3,7,8,5,11,11,11,5,5,7,5,6,9,23,13,22,12,19,52,59,58,19,26,31,46,81,100,53,35,31,38,34,95,75,40,25,17,20,9,26,44,68,79,14,19,15,17,18,42,15,11,7,6,9,22,15,0,6,7,4,7,32,13,7,6,9,10,8,13,15,4,3,5,11,10,4,12,131,24,6,7,3,4,1,2,1,2
23,The Lego Batman Movie,Action,Animation,34,Lego Batman,Warner,19787000,1343347,777,2017-09-02,46,45,38,37,54,83,100,37,48,40,30,42,69,76,32,33,36,28,33,64,48,24,24,22,26,25,52,52,22,25,30,25,22,33,47,18,30,24,39,29,45,46,29,24,29,27,52,41,46,24,19,21,25,26,48,48,43,21,24,16,24,45,41,29,14,10,12,19,32,27,16,16,15,16,26,49,68,28,18,17,23,29,52,47,28,21,24,28,27,58,51,37,24,23,19,28,51,39,30,27,25,43,36,48,57,24,29,19,28,24,45,29,22,31,30,29,29,39,40,31,28,28,19,26,31,34,31,23,28,20,24,26,36,31,31,24,31,24,31,40,27,26,24,23,24,25,34,23,18,16,16,25,37,35,16,22,14,24,17,35,22,25,12,18,22,19,28,31,19,13,15,14,18,20,25,17,17,16,14,18,31,1,36,76,33,20,9,3,1,1,1
