id,título_original,genero,subgenero
0,The Fate of the Furious,Action,Crime
1,Justice league,Action,Adventure
2,Beauty and the Beast,Family,Fantasy
3,Despicable me 3,Action,Animation
4,Wonder Woman,Adventure,Fantasy
5,Spider-man - Homecoming,Action,Adventure
6,Thor: Ragnarok,Action,Adventure
7,Logan,Action,Drama
8,Minha mãe é uma peça 2,Comedy,Placeholder
9,The Shack,Drama,Fantasy
10,Moana,Adventure,Comedy
11,The Guardians of the Galaxy 2,Action,Adventure
12,Fifty shades darker,Drama,Romance
13,It,Horror,Thriller
14,Pirates of the Caribbean: Dead men tell no tales,Adventure,Action
15,Star Wars - The last jedi,Fantasy,Adventure
16,Wonder,Drama,Family
17,The mummy,Adventure,Action
18,The boss baby,Animation,Comedy
19,War for the Planet of the Apes,Drama,Science Fiction
20,Transformers: The last knight,Action,Science Fiction
21,Annabelle 2,Horror,Mystery
22,Cars 3,Adventure,Animation
23,Assassin's Creed,Action,Adventure
24,Kong - Skull Island,Action,Adventure
25,The Great Wall,Action,Adventure
26,The Emoji Movie,Animation,Family
27,La la Land,Comedy,Drama
28,Passengers,Drama,Romance
29,Polícia Federal - A lei é para todos,Action,Thriller
30,Woody Woodpecker,Animation,Comedy
31,Rings,Horror,Placeholder
32,Smurfs: The lost village,Adventure,Animation
33,The Lego Batman Movie,Action,Animation
34,XXX - The return of Xander Cage,Action,Adventure
35,Resident Evil: The Final Chapter,Action,Horror
36,"Parças, Os",Comedy,Placeholder
37,Blade runner 2049,Science Fiction,Action
38,Murder on the Orient Express,Crime,Drama
39,Kingsman: The golden circle,Action,Adventure
40,Detetives do prédio azul,Action,Adventure
41,Power Rangers,Action,Adventure
42,King Arthur - Legend of the sword,Action,Drama
43,Split,Horror,Thriller
44,Sing,Animation,Comedy
45,Dunkirk,War,Action
46,Geostorm,Action,Science Fiction
47,Happy death day,Horror,Mystery
48,The Dark Tower,Action,Fantasy
49,Ghost in the Shell,Action,Science Fiction
50,Alien: Covenant,Horror,Science Fiction
51,Jigsaw,Crime,Horror
52,Baby Driver,Action,Crime
