colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
1,Velozes e furiosos 8,The Fate of the Furious,Universal,133420000,8504737,1512,2017-04-13
2,Liga da Justiça,Justice league,Warner,131218000,8416544,1582,2017-11-16
3,A Bela e a Fera,Beauty and the Beast,Disney,130098000,8309801,1399,2017-03-16
4,Meu malvado favorito 3,Despicable me 3,Universal,126007000,8996130,1319,2017-06-29
5,Mulher-Maravilha,Wonder Woman,Warner,109700000,7053736,1287,2017-01-06
6,Homem-Aranha: De volta ao lar,Spider-man - Homecoming,Sony,102686000,6715848,1546,2017-06-07
7,Thor: Ragnarok,Thor: Ragnarok,Disney,99924700,6371808,1565,2017-10-26
8,Logan,Logan,Fox,91226300,6439753,1288,2017-02-03
9,Minha mãe é uma peça 2,Minha mãe é uma peça 2,DTF/Paris,89279600,6566550,1231,2016-12-22
10,A cabana,The Shack,Paris,74712700,5102909,843,2017-06-04
11,Moana - Um mar de aventuras,Moana,Disney,71610700,5149077,1211,2017-05-01
12,Guardiões da Galáxia 2,The Guardians of the Galaxy 2,Disney,67539800,4208491,1312,2017-04-27
13,Cinquenta tons mais escuros,Fifty shades darker,Universal,66570600,4628938,1532,2017-09-02
14,It - A coisa,It,Warner,62061000,4451312,863,2017-07-09
15,Piratas do Caribe - A vingança de Salazar,Pirates of the Caribbean: Dead men tell no tales,Disney,55003600,3659969,1400,2017-05-25
16,Star Wars - Os últimos jedi,Star Wars - The last jedi,Disney,53243900,2954229,1641,2017-12-14
17,Extraordinário,Wonder,Paris,52893500,3787134,878,2017-07-12
18,A múmia,The mummy,Universal,47432100,3054033,1102,2017-08-06
19,O poderoso chefinho,The boss baby,Fox,46194000,3240436,898,2017-03-30
20,Planeta dos macacos - A guerra,War for the Planet of the Apes,Fox,43032400,2718820,1167,2017-03-08
21,Transformers: O último cavaleiro,Transformers: The last knight,Paramount,42714800,2853206,1145,2017-07-20
22,Annabelle 2 - A criação do mal,Annabelle 2,Warner,40566100,2980561,1255,2017-08-17
23,Carros 3,Cars 3,Disney,34554900,2527185,1156,2017-07-13
24,Assassin's Creed,Assassin's Creed,Fox,32695500,2071518,902,2017-12-01
25,Kong - A ilha da caveira,Kong - Skull Island,Warner,29349300,1920063,906,2017-09-03
26,A grande muralha,The Great Wall,Universal,27179500,1717210,814,2017-02-23
27,Emoji - O filme,The Emoji Movie,Sony,23663300,1694482,854,2017-08-31
28,La la Land - Cantando estações,La la Land,Paris,23583800,1383112,326,2017-01-19
29,Passageiros,Passengers,Sony,22344200,1300496,676,2017-05-01
30,Polícia Federal - A lei é para todos,Polícia Federal - A lei é para todos,DTF/Paris,21702400,1383878,794,2017-07-09
31,Pica-Pau,Woody Woodpecker,Universal,21131000,1635280,728,2017-05-10
32,O chamado 3,Rings,Paramount,20936100,1528477,611,2017-02-02
33,Os Smurfs e a vila perdida,Smurfs: The lost village,Sony,20854100,1468260,872,2017-06-04
34,Lego Batman,The Lego Batman Movie,Warner,19787000,1343347,777,2017-09-02
35,xXx - Reativado,XXX - The return of Xander Cage,Paramount,19601900,1297093,783,2017-01-19
36,Resident Evil 6 - O capítulo final,Resident Evil: The Final Chapter,Sony,18981100,1221571,699,2017-01-26
37,Os parças,"Parças, Os",DTF/Paris,17665200,1305252,334,2017-11-30
38,Blade runner 2049,Blade runner 2049,Sony,17090700,907145,723,2017-05-10
39,Assassinato no Expresso do Oriente,Murder on the Orient Express,Fox,16738300,1005730,362,2017-11-30
40,Kingsman - O círculo dourado,Kingsman: The golden circle,Fox,16424100,1032044,840,2017-09-28
41,Detetives do prédio azul,Detetives do prédio azul,DTF/Paris,16085900,1219470,515,2017-07-20
42,Power Rangers,Power Rangers,Paris,15851000,1233619,841,2017-03-23
43,Rei Arthur - A lenda da espada,King Arthur - Legend of the sword,Warner,15499900,961626,867,2017-05-18
44,Fragmentado,Split,Universal,15189800,1011384,615,2017-03-23
45,Sing - Quem canta seus males espanta,Sing,Universal,15161200,1204542,999,2016-12-22
46,Dunkirk,Dunkirk,Warner,14425100,794493,476,2017-07-27
47,Tempestade - Planeta em fúria,Geostorm,Warner,14327700,914177,602,2017-10-19
48,A morte te dá parabéns,Happy death day,Universal,13705800,1014940,557,2017-12-10
49,A Torre Negra,The Dark Tower,Sony,12633900,906851,683,2017-08-24
50,A Vigilante do Amanhã: Ghost in the shell,Ghost in the Shell,Paramount,12220900,736002,768,2017-03-30
51,Alien: Covenant,Alien: Covenant,Fox,9602300,667624,849,2017-11-05
52,Jogos mortais - Jigsaw,Jigsaw,Paris,9435770,630785,514,2017-11-30
53,Em ritmo de fuga,Baby Driver,Sony,9015990,590987,402,2017-07-27
54,Feito na América,American made,Universal,8985670,554772,534,2017-09-14
55,Meus 15 anos,Meus 15 anos,DTF/Paris,8966650,739726,590,2017-06-22
56,Beleza oculta,Collateral beauty,Warner,8904940,512613,271,2017-01-26
57,Rogue One - Uma história Star Wars,Rogue One: A Star Wars Story,Disney,8870690,536160,1379,2016-12-15
58,Baywatch - S.O.S. Malibu,Baywatch,Paramount,8763480,654988,446,2017-06-15
59,Aventuras do Capitão Cueca - O filme,Captain underpants: The First Epic Movie,Fox,8633560,571543,582,2017-12-10
60,O circulo,The Circle,Imagem,8317840,475257,413,2017-06-22
61,Mãe!,"mother!,",Paramount,8166980,517179,332,2017-09-21
62,"Fala sério, mãe!","Fala sério, mãe!",DTF/Paris,8090740,599579,681,2017-12-28
63,Um tio quase perfeito,"Tio quase perfeito, Um",H2O Films,7995480,579232,311,2017-06-15
64,Valerian e a cidade dos mil planetas,Valerian and the city of a thousand planets,Diamond Films,7825960,509391,833,2017-10-08
65,Depois daquela montanha,The mountain between us,Fox,7752210,443258,247,2017-02-11
66,John Wick 2 - Um novo dia para matar,John Wick 2,Paris,7747380,550981,372,2017-02-16
67,A bailarina,Ballerina,Paris,7617960,546984,463,2017-01-26
68,Quatro vidas de um cachorro,A dog's purpose,Universal,6870970,513291,419,2017-01-26
69,Eu fico loko,Eu fico loko,DTF/Paris,6818450,556352,618,2017-12-01
70,Como se tornar o pior aluno da escola,Como se tornar o pior aluno da escola,DTF/Paris,6794380,501862,356,2017-12-10
71,Aliados,allied,Paramount,6621390,394964,269,2017-02-16
72,Estrelas além do tempo,Hidden figures,Fox,6612580,399373,271,2017-02-02
73,Divórcio,Divórcio,Warner,6584550,497713,577,2017-09-21
74,Pai em dose dupla 2,Daddy's home 2,Paramount,6198120,450655,470,2017-11-23
75,A estrela de Belém,The star,Sony,5912030,478929,438,2017-11-30
76,Moonlight - Sob a luz do luar,Moonlight,Diamond Films,5851280,341969,63,2017-02-23
77,Atômica,Atomic blonde,Universal,5831110,376446,502,2017-08-31
78,Corra!,Get Out,Universal,5672670,382879,444,2017-05-18
79,Os penetras 2 - Quem dá mais?,"Penetras 2 - Quem dá mais?, Os",H2O/Universal,5614830,404875,444,2017-01-19
80,Vida,Life,Sony,5330410,313426,262,2017-04-20
81,Internet - o filme,Internet - o filme,DTF/Paris,4911240,379103,414,2017-02-23
82,Lego Ninjago - O filme,The Lego Ninjago movie,Warner,4869560,337005,713,2017-09-28
83,Até o último homem,Hacksaw ridge,Diamond Films,4867210,274802,121,2017-01-26
84,Monster Trucks,Monster Trucks,Paramount,4553700,340323,493,2017-02-23
85,O rei do show,The greatest showman,Fox,4508650,284453,462,2017-12-25
86,A noiva,Hebecta,Paris,4364290,314444,271,2017-02-11
87,O filme da minha vida,"Filme da minha vida, O",Vitrine,4351370,284968,253,2017-03-08
88,Lino - O filme,Lino - O filme,Fox,4349910,318233,446,2017-07-09
89,"Big pai, big filho",The son of bigfoot,Imagem,4249740,313965,424,2017-02-11
90,Bingo - O rei das manhãs,Bingo - O rei das manhãs,Warner,4032760,261153,400,2017-08-24
91,Duas de mim,Duas de mim,DTF/Paris,3903210,290627,280,2017-09-28
92,Lion - Uma jornada para casa,Lion,Diamond Films,3697240,208822,114,2017-02-16
93,Invasão Zumbi,Train to busan,Paris,3639140,290078,384,2016-12-29
94,Dupla Explosiva,The Hitman's Bodyguard,California,3577890,244358,389,2017-08-31
95,Jumanji: Bem-vindo à selva,Jumanji - Welcome to the jungle,Sony,3452600,211434,935,2018-04-01
96,As aventuras de Tadeo 2 - O segredo do Rei Midas,Tadeo Jones 2 - El secreto del Rey Midas,Paramount,3438590,250671,518,2017-12-21
97,7 desejos,Wish upon,Imagem,3433070,251496,352,2017-07-27
98,Como nossos pais,Como nossos pais,Imovision,3428700,203878,129,2017-08-31
99,"TOC - Transtornada, obsessiva, compulsiva","TOC - Transtornada, obsessiva, compulsiva",DTF/Paris,3357880,246183,306,2017-02-02
100,Além da morte,Flatliners,Sony,3184540,242171,435,2017-10-19
101,A autópsia,The Autopsy of Jane Doe,Diamond Films,2981190,211941,252,2017-04-05
102,Antes que eu vá,Before I fall,Paris,2822880,189500,267,2017-05-18
103,Ninguém entra ninguém sai,Ninguém entra ninguém sai,Imagem,2649630,199567,396,2017-04-05
104,As aventuras de Ozzy,Ozzy,Playarte,2493910,183254,259,2017-01-06
105,Gosto se discute,Gosto se discute,Imagem,2426930,174421,345,2017-09-11
106,Despedida em grande estilo,Going in style,Warner,2338770,133139,125,2017-06-04
107,Assassino - O primeiro alvo,American Assassin,Paris,2314960,167953,300,2017-09-21
108,Paris pode esperar,Paris Can Wait,California,2248680,117638,47,2017-08-06
109,Amityville - o despertar,Amityville,Paris,2225980,173238,294,2017-09-14
110,Chocante,Chocante,Imagem,2205120,158103,478,2017-05-10
111,Victoria e Abdul - O confidente da rainha,Victoria and Abdul,Universal,2180170,109203,62,2017-11-16
112,Dominação,Incarnate,Playarte,2058990,143460,223,2017-05-01
113,Uma família feliz,Happy Family,Paris,2049130,148054,356,2017-08-17
114,Manchester à beira-mar,Manchester by the sea,Sony,1814370,102141,25,2017-01-19
115,O estranho que nós amamos,The Beguiled,Universal,1806810,100840,74,2017-10-08
116,My little pony - O filme,My little pony - the movie,Paris,1788240,134266,405,2017-05-10
117,Tudo e todas as coisas,"Everything, Everything",Warner,1719540,126276,244,2017-06-15
118,Animais noturnos,Nocturnal animals,Universal,1675080,93610,67,2016-12-29
119,"João, o maestro","João, o maestro",Sony,1629460,94812,95,2017-08-17
120,O Reino Gelado: Fogo e gelo,Snezhnaya koroleva 3. Ogon i led,California,1593640,125679,256,2017-10-08
121,Neve negra,Nieve negra,Paris,1579060,86301,66,2017-08-06
122,Um limite entre nós,Fences,Paramount,1576140,87013,47,2017-02-03
123,Uma família de dois,Demain tout commence,Paris,1562190,91356,105,2017-06-29
124,Malasartes e o duelo com a morte,Malasartes e o duelo com a morte,DTF/Paris,1539770,114111,351,2017-10-08
125,Bugigangue no espaço,Bugigangue no espaço,Imagem,1535680,113928,246,2017-02-23
126,Sully - O herói do rio Hudson,Sully,Warner,1535650,79249,264,2016-12-15
127,Monsieur & Madame Adelman,Monsieur & Madame Adelman,Imovision,1526560,91320,22,2017-07-20
128,Em defesa de Cristo,The Case for Christ,California,1515630,120661,72,2017-09-14
129,Jackie,Jackie,Diamond Films,1510200,82726,59,2017-02-02
